Date,Open,High,Low,Volume,Close
13-06-2016,43.900002,45.153999,43.532001,20965000,43.574001
14-06-2016,43.776001,44.439999,42.506001,17901000,42.992001
15-06-2016,43.389999,44.380001,43.026001,14542500,43.540001
16-06-2016,43.484001,43.608002,42.700001,12201500,43.585999
17-06-2016,43.562,43.998001,42.900002,15563000,43.094002
20-06-2016,43.900002,44.75,43.646,17777500,43.939999
21-06-2016,44.136002,44.514,43.762001,22645000,43.922001
22-06-2016,39.894001,41.189999,39.150002,118712000,39.332001
23-06-2016,39.138,39.509998,38.425999,50653500,39.279999
24-06-2016,38.009998,39.023998,37.945999,35132500,38.630001
27-06-2016,38.172001,39.762001,37.574001,36027000,39.709999
28-06-2016,40.377998,40.810001,39.882,31062000,40.358002
29-06-2016,41.026001,42.355999,40.599998,29974500,42.037998
30-06-2016,42.594002,42.700001,41.804001,24215500,42.456001
01-07-2016,41.228001,43.647999,41.200001,27000000,43.299999
05-07-2016,41.945999,42.908001,41.599998,25876500,42.796001
06-07-2016,42,43.046001,41.799999,24599500,42.888
07-07-2016,42.619999,43.624001,42.602001,18060000,43.188
08-07-2016,43.560001,43.962002,42.900002,20374000,43.355999
11-07-2016,43.992001,45.355999,43.902,27149000,44.956001
12-07-2016,44.82,45.5,44.644001,22856500,44.93
13-07-2016,45.099998,45.118,44.057999,17835500,44.506001
14-07-2016,44.624001,44.987999,44.209999,13379000,44.306
15-07-2016,44.504002,44.549999,43.928001,11171000,44.080002
18-07-2016,43.928001,45.417999,43.66,17060500,45.25
19-07-2016,45,45.82,44.950001,15575500,45.051998
20-07-2016,45.293999,45.959999,45,12842500,45.672001
21-07-2016,45.200001,45.57,43.82,22143500,44.099998
22-07-2016,44.397999,44.900002,43.776001,12898500,44.453999
25-07-2016,44.453999,46.278,44.273998,22453500,46.001999
26-07-2016,45.537998,46,45.060001,17150000,45.902
27-07-2016,45.868,46.672001,45.383999,14445000,45.698002
28-07-2016,45.59,46.152,45.32,12095500,46.122002
29-07-2016,46.139999,47.056,46.048,15354000,46.958
01-08-2016,47.099998,47.326,45.875999,20081500,46.001999
02-08-2016,45.874001,45.973999,44.279999,19672000,45.439999
03-08-2016,45.473999,45.939999,44.841999,19439000,45.158001
04-08-2016,45.138,46.172001,44.41,20735000,46.122002
05-08-2016,46,46.400002,45.48,16026000,46.006001
08-08-2016,45.599998,45.919998,45.217999,11318000,45.231998
09-08-2016,45.363998,46.307999,45.330002,11039000,45.816002
10-08-2016,45.647999,45.973999,44.924,11691500,45.130001
11-08-2016,45.234001,45.514,44.681999,9404500,44.981998
12-08-2016,45.082001,45.330002,44.807999,9067500,45.122002
15-08-2016,45.203999,45.900002,44.986,10171500,45.118
16-08-2016,45.098,45.438,44.681999,11335500,44.722
17-08-2016,44.866001,44.966,44.560001,8935500,44.647999
18-08-2016,44.764,45.132,44.458,8572500,44.702
19-08-2016,44.708,45.034,44.506001,8297500,45
22-08-2016,44.834,45.021999,44.535999,10327500,44.585999
23-08-2016,44.863998,45.698002,44.560001,23922000,44.967999
24-08-2016,45.41,45.43,44.444,12853500,44.523998
25-08-2016,44.622002,44.759998,44.153999,8812500,44.192001
26-08-2016,44.428001,44.571999,43.764,11195000,43.998001
29-08-2016,44.029999,44.080002,43,16331500,43.040001
30-08-2016,43.222,43.222,42.104,15844500,42.268002
31-08-2016,42.085999,42.52,41.73,16382500,42.402
01-09-2016,41.801998,42.220001,40.099998,39715500,40.153999
02-09-2016,40.466,40.639999,39.240002,29887000,39.556
06-09-2016,39.804001,40.650002,39.799999,21953000,40.566002
07-09-2016,41.099998,41.299999,40.141998,18204500,40.341999
08-09-2016,39.91,39.978001,39.271999,16889500,39.472
09-09-2016,39.818001,39.984001,38.740002,18785000,38.894001
12-09-2016,39,40.273998,38.82,18576000,39.66
13-09-2016,39.411999,39.698002,38.689999,17947000,39.209999
14-09-2016,39.150002,39.584,38.972,11272500,39.282001
15-09-2016,39.298,40.504002,39.279999,15386000,40.084
16-09-2016,40.084,41.139999,39.799999,15539000,41.080002
19-09-2016,41.400002,41.886002,41,11497500,41.268002
20-09-2016,41.369999,41.549999,40.782001,12052500,40.928001
21-09-2016,41.273998,41.400002,40.312,13167500,41.043999
22-09-2016,41.279999,41.456001,40.599998,11914500,41.285999
23-09-2016,41.198002,42.035999,41.133999,14526000,41.490002
26-09-2016,41.299999,42.200001,41.299999,11972000,41.798
27-09-2016,41.93,41.995998,40.922001,16866000,41.161999
28-09-2016,41.501999,41.650002,41.051998,10442000,41.254002
29-09-2016,41.119999,41.466,40.116001,13635000,40.139999
30-09-2016,40.442001,40.995998,39.91,12931500,40.806
03-10-2016,42.459999,43.133999,41.650002,29999500,42.740002
04-10-2016,42.619999,42.664001,41.764,17707500,42.282001
05-10-2016,42.448002,42.630001,41.624001,9387500,41.692001
06-10-2016,40.492001,40.841999,40.042,23517000,40.200001
07-10-2016,40.200001,40.264,39.16,17465000,39.321999
10-10-2016,40.27,40.827999,39.931999,16581500,40.189999
11-10-2016,40.369999,40.439999,39.661999,11642000,40.02
12-10-2016,40.189999,40.776001,40.084,9853500,40.301998
13-10-2016,40.099998,40.18,39.41,12473000,40.048
14-10-2016,40.132,40.285999,39.259998,21349500,39.301998
17-10-2016,39.41,39.678001,38.400002,22770500,38.792
18-10-2016,39.198002,39.894001,38.652,28402500,39.82
19-10-2016,39.948002,41.332001,39.612,34956000,40.712002
20-10-2016,40.424,40.599998,39.41,25364500,39.82
21-10-2016,39.720001,40.313999,39.481998,14717000,40.018002
24-10-2016,40.200001,40.790001,40.049999,13758000,40.551998
25-10-2016,40.580002,40.938,40.240002,12225000,40.467999
26-10-2016,40.200001,40.638,40.02,28164000,40.448002
27-10-2016,42.268002,42.740002,40.330002,65468500,40.801998
28-10-2016,40.799999,41.063999,39.966,21400500,39.993999
31-10-2016,40.498001,40.498001,39.161999,23461500,39.546001
01-11-2016,39.608002,39.700001,37.622002,35300000,38.158001
02-11-2016,38.009998,38.540001,37.501999,21267000,37.604
03-11-2016,37.799999,38.293999,37.408001,13265000,37.484001
04-11-2016,37.799999,38.692001,37.192001,25730000,38.112
07-11-2016,38.717999,38.858002,38.009998,19350500,38.641998
08-11-2016,38.757999,39.498001,38.251999,16338000,38.987999
09-11-2016,37.375999,38.400002,36.790001,40865500,38.012001
10-11-2016,38.209999,38.321999,36.084,33751500,37.07
11-11-2016,36.848,37.776001,36.599998,19942500,37.712002
14-11-2016,37.599998,37.650002,35.638,32761000,36.290001
15-11-2016,36.556,37.285999,36.41,19510000,36.754002
16-11-2016,36.529999,36.945999,36.242001,17172000,36.785999
17-11-2016,36.698002,37.897999,36.422001,24435500,37.731998
18-11-2016,38.130001,38.599998,37,26051500,37.004002
21-11-2016,37.007999,37.778,36.882,21805000,36.903999
22-11-2016,37.167999,38.293999,36.742001,28017000,38.234001
23-11-2016,38.122002,39.127998,37.799999,24459500,38.627998
25-11-2016,38.728001,39.448002,38.728001,11830500,39.330002
28-11-2016,39.096001,39.869999,38.91,22646000,39.223999
